Client IP = 127.0.0.1 

Count 	 Sensor 	 Max_Sensor 	 Min_Sensor 	 Average_Sensor 
1 	 88 		 88 		 88 		 88.00 
2 	 31 		 88 		 31 		 59.50 
3 	 12 		 88 		 12 		 43.67 
4 	 51 		 88 		 12 		 45.50 
5 	 46 		 88 		 12 		 45.60 
6 	 25 		 88 		 12 		 42.17 
7 	 38 		 88 		 12 		 41.57 
8 	 77 		 88 		 12 		 46.00 
9 	 80 		 88 		 12 		 49.78 
10 	 19 		 88 		 12 		 46.70 
11 	 52 		 88 		 12 		 47.18 
12 	 15 		 88 		 12 		 44.50 
13 	 47 		 88 		 12 		 44.69 
14 	 22 		 88 		 12 		 43.07 
15 	 86 		 88 		 12 		 45.93 
16 	 14 		 88 		 12 		 43.94 
17 	 61 		 88 		 12 		 44.94 
18 	 24 		 88 		 12 		 43.78 
19 	 66 		 88 		 12 		 44.95 
20 	 23 		 88 		 12 		 43.85 
21 	 63 		 88 		 12 		 44.76 
22 	 40 		 88 		 12 		 44.55 
23 	 1 		 88 		 1 		 42.65 
24 	 29 		 88 		 1 		 42.08 
25 	 1 		 88 		 1 		 40.44 
26 	 13 		 88 		 1 		 39.38 
27 	 75 		 88 		 1 		 40.70 
28 	 10 		 88 		 1 		 39.61 
29 	 81 		 88 		 1 		 41.03 
30 	 27 		 88 		 1 		 40.57 
31 	 46 		 88 		 1 		 40.74 
32 	 18 		 88 		 1 		 40.03 
33 	 63 		 88 		 1 		 40.73 
34 	 94 		 94 		 1 		 42.29 
35 	 28 		 94 		 1 		 41.89 
36 	 19 		 94 		 1 		 41.25 
37 	 61 		 94 		 1 		 41.78 
38 	 40 		 94 		 1 		 41.74 
39 	 41 		 94 		 1 		 41.72 
40 	 30 		 94 		 1 		 41.42 
41 	 25 		 94 		 1 		 41.02 
